"MiniGrid-BlockedUnlockPickup-v0", "pick up the green box"
"MiniGrid-LavaCrossingS9N1-v0", "avoid the lava and get to the green goal square"
"MiniGrid-LavaCrossingS9N2-v0", "avoid the lava and get to the green goal square"
"MiniGrid-LavaCrossingS9N3-v0", "avoid the lava and get to the green goal square"
"MiniGrid-LavaCrossingS11N5-v0", "avoid the lava and get to the green goal square"
"MiniGrid-SimpleCrossingS9N1-v0", "find the opening and get to the green goal square"
"MiniGrid-SimpleCrossingS9N2-v0", "find the opening and get to the green goal square"
"MiniGrid-SimpleCrossingS9N3-v0", "find the opening and get to the green goal square"
"MiniGrid-SimpleCrossingS11N5-v0", "find the opening and get to the green goal square"
"MiniGrid-DistShift1-v0", "get to the green goal square"
"MiniGrid-DistShift2-v0", "get to the green goal square"
"MiniGrid-DoorKey-5x5-v0", "use the key to open the door and then get to the goal"
"MiniGrid-DoorKey-6x6-v0", "use the key to open the door and then get to the goal"
"MiniGrid-DoorKey-8x8-v0", "use the key to open the door and then get to the goal"
"MiniGrid-DoorKey-16x16-v0", "use the key to open the door and then get to the goal"
"MiniGrid-Dynamic-Obstacles-5x5-v0", "get to the green goal square"
"MiniGrid-Dynamic-Obstacles-Random-5x5-v0", "get to the green goal square"
"MiniGrid-Dynamic-Obstacles-6x6-v0", "get to the green goal square"
"MiniGrid-Dynamic-Obstacles-Random-6x6-v0", "get to the green goal square"
"MiniGrid-Dynamic-Obstacles-8x8-v0", "get to the green goal square"
"MiniGrid-Dynamic-Obstacles-16x16-v0", "get to the green goal square"
"MiniGrid-Empty-5x5-v0", "get to the green goal square"
"MiniGrid-Empty-Random-5x5-v0", "get to the green goal square"
"MiniGrid-Empty-6x6-v0", "get to the green goal square"
"MiniGrid-Empty-Random-6x6-v0", "get to the green goal square"
"MiniGrid-Empty-8x8-v0", "get to the green goal square"
"MiniGrid-Empty-16x16-v0", "get to the green goal square"
"MiniGrid-Fetch-5x5-N2-v0", "go fetch a green key"
"MiniGrid-Fetch-6x6-N2-v0", "get a yellow ball"
"MiniGrid-Fetch-8x8-N3-v0", "go fetch a grey ball"
"MiniGrid-FourRooms-v0", "reach the goal"
"MiniGrid-GoToDoor-5x5-v0", "go to the grey door"
"MiniGrid-GoToDoor-6x6-v0", "go to the red door"
"MiniGrid-GoToDoor-8x8-v0", "go to the purple door"
"MiniGrid-GoToObject-6x6-N2-v0", "go to the yellow ball"
"MiniGrid-GoToObject-8x8-N2-v0", "go to the blue key"
"MiniGrid-KeyCorridorS3R1-v0", "pick up the blue ball"
"MiniGrid-KeyCorridorS3R2-v0", "pick up the grey ball"
"MiniGrid-KeyCorridorS3R3-v0", "pick up the green ball"
"MiniGrid-KeyCorridorS4R3-v0", "pick up the blue ball"
"MiniGrid-KeyCorridorS5R3-v0", "pick up the yellow ball"
"MiniGrid-KeyCorridorS6R3-v0", "pick up the grey ball"
